[2021-05-03T22:57:28+0000] [PACMAN] Running 'pacman -Syu --root /d/a/rtools-installer/rtools-installer/build/rtools40'
[2021-05-03T22:58:44+0000] [ALPM] installed mingw-w64-ucrt-x86_64-headers-git (9.0.0.6158.1c773877-1)
[2021-05-03T22:58:45+0000] [ALPM] installed mingw-w64-ucrt-x86_64-crt-git (9.0.0.6158.1c773877-1)
[2021-05-03T22:58:46+0000] [ALPM] installed mingw-w64-ucrt-x86_64-isl (0.21-1)
[2021-05-03T22:58:46+0000] [ALPM] installed mingw-w64-ucrt-x86_64-gmp (6.1.2-9002)
[2021-05-03T22:58:46+0000] [ALPM] installed mingw-w64-ucrt-x86_64-mpfr (4.0.2-9002)
[2021-05-03T22:58:46+0000] [ALPM] installed mingw-w64-ucrt-x86_64-mpc (1.1.0-9002)
[2021-05-03T22:58:46+0000] [ALPM] installed mingw-w64-ucrt-x86_64-windows-default-manifest (6.4-9500)
[2021-05-03T22:58:46+0000] [ALPM] installed mingw-w64-ucrt-x86_64-winpthreads-git (9.0.0.6158.1c773877-9800)
[2021-05-03T22:58:46+0000] [ALPM] installed mingw-w64-ucrt-x86_64-zstd (1.4.4-1)
[2021-05-03T22:58:51+0000] [ALPM] installed mingw-w64-ucrt-x86_64-gcc (10.3.0-9800)
[2021-05-03T22:58:52+0000] [ALPM] installed mingw-w64-ucrt-x86_64-gcc-fortran (10.3.0-9800)
[2021-05-03T22:58:53+0000] [ALPM] installed mingw-w64-ucrt-x86_64-pkg-config (0.29.2-9002)
[2021-05-03T22:58:53+0000] [ALPM] installed mingw-w64-ucrt-x86_64-tools-git (9.0.0.6166.0a00d0ea-1)
[2021-05-03T22:58:53+0000] [ALPM] installed mingw-w64-x86_64-libjpeg-turbo (2.0.5-9000)
[2021-05-03T22:58:53+0000] [ALPM] installed mingw-w64-x86_64-pcre (8.43-9002)
[2021-05-03T22:58:53+0000] [ALPM] installed mingw-w64-x86_64-qpdf (8.0.0-9100)
[2021-05-03T22:58:53+0000] [ALPM] transaction completed
[2021-05-03T22:58:53+0000] [ALPM] running 'texinfo-install.hook'...
[2021-05-03T22:58:56+0000] [PACMAN] Running 'pacman -Scc --noconfirm --root /d/a/rtools-installer/rtools-installer/build/rtools40'
